,accuracy,precision,recall,f1_score,auc
Gradient Boosting,0.9274891774891775,0.8980716253443526,0.9157303370786517,0.9068150208623088,0.9779558672258268
Random Forest,0.8966450216450217,0.8780841799709724,0.8497191011235955,0.8636688079942898,0.9507740791660073
Neural Network,0.8409090909090909,0.8073529411764706,0.7710674157303371,0.7887931034482759,0.9069627561718627
Logistic Regression,0.8187229437229437,0.7904468412942989,0.7205056179775281,0.7538574577516532,0.884738116197183
